row.names,Pop,i,A,LF,LG,SF,SG,CEC,CO3Ca,CS,pH,CdS,CrS,CuS,FeS,MnS,NiS,PbS,ZnS,CdD,CuD,PbD,ZnD,CdN,CuN,ZnN,CdB,CrB,CuB,FeB,MgB,MnB,NiB,PbB,ZnB
ChX8,X, 8,2.995732,2.844909,2.360854, 2.714695 , 3.613617  ,2.379546,-6.907755, 0.65752    ,1.740466,-0.7550226  ,3.732896,3.456317, 1.348073  ,7.455877,3.238678,3.972177,5.499624,-2.225624 , 0.4337286 , 0.65752    , 1.09427   ,3.115735 ,2.880321,6.608378,-3.015935,-1.320507 ,1.214913 ,3.332205, 0.01980263 ,4.248495,-0.1984509  ,-2.024878 ,3.254243
ChX9,X, 9,3.250374,3.00072 ,2.61007 , 2.928524 , 3.08191   ,2.451005,-6.907755, 0.6097656  ,1.704748,-0.3147107  ,4.160444,3.676301, 1.477049  ,7.734121,3.763523,4.866765,5.749393,-2.009916 , 0.4712528 , 1.643066   , 0.7979575 ,3.801315 ,2.929058,6.949598,-2.813411,-2.171557 ,1.534714 ,3.374169, 0.05826891 ,4.00915 ,-0.3011051  ,-2.225531 ,3.397858
ChX10,X,10,3.077312,2.980619,2.476538, 3.030134 , 3.258097  ,2.667228,-6.907755, 1.169381   ,1.856298,-0.6931472  ,3.877432,2.912351, 1.381282  ,7.659171,3.608212,3.69883 ,5.384036,-1.910543 , 0.0806579 , 0.6481498  , 0.7825307 ,1.780024 ,2.994231,4.17331 ,-2.780621,-1.890475 ,1.368639 ,3.356897, 0.3074847  ,3.797734,-0.2484614  ,-2.282684 ,3.321432
ChX11,X,11,3.169686,3.11795 ,2.379546, 3.058707 , 3.068053  ,2.501436,-6.907755, 0.7419373  ,1.88707 ,-0.6931472  ,3.985273,3.577948, 1.388791  ,7.883823,3.566712,4.000034,5.357058,-2.292635 , 0.3818552 , 0.9114792  , 0.2623643 ,1.088562 ,3.035914,3.059646,-3.729701,-1.890475 ,1.442202 ,3.353407, 0.04879016 ,3.605498,-0.03045921 ,-2.975734 ,2.970414
ChX12,X,12,3.139833,2.867899,2.312535, 3.173878 , 3.230804  ,2.312535,-6.907755, 0.6097656  ,1.902108,-0.03045921 ,3.795489,3.688879, 1.345472  ,7.652071,3.65584 ,4.400603,5.681878,-2.343407 , 0.3206332 , 0.9535865  ,-0.1064722 ,1.121678 ,3.066657,3.062456,-3.079114,-2.216407 ,1.435084 ,3.295837, 0.1570037  ,3.637586,-0.1984509  ,-1.980429 ,3.148453
ChX14,X,14,2.809403,2.995732,2.580217, 2.827314 , 3.505557  ,2.028148,-6.907755, 0.4574248  ,1.757858,-1.714798   ,3.732896,3.250374, 0.8329091 ,7.077498,3.161247,5.34901 ,4.882044,-2.513306 , 0.8069222 , 1.865629   , 0.9021918 ,2.529721 ,3.230804,6.255385,-3.244194,-2.282782 ,1.378766 ,3.280911, 0.04879016 ,3.763523, 0.05826891 ,-3.193939 ,3.206803
ChX16,X,16,3.068053,2.901422,2.572612, 3.025291 , 3.280911  ,2.208274,-6.907755, 0.4187103  ,1.791759,-0.9162907  ,4.210645,3.867026, 1.345472  ,7.127694,3.678829,4.27944 ,5.415211,-2.407946 , 0.75      , 0.6455313  , 0.6678294 ,2.885359 ,2.998728,6.1762  ,-3.170086,-2.032558 ,1.519513 ,3.363842, 0.1906204  ,3.848018, 0.2851789  ,-3.473446 ,3.186353
ChX17,X,17,3.063391,2.917771,2.595255, 2.985682 , 3.292126  ,2.219203,-6.907755, 0.4054651  ,1.757858,-1.309333   ,4.127134,3.828641, 1.297463  ,7.114769,3.686376,3.962716,5.277094,-2.60369  , 0.3832195 , 0.4337286  ,-0.2319321 ,3.261169 ,3.034953,6.012712,-2.688248,-1.958995 ,1.472472 ,3.317816, 0.1133287  ,4.38577 , 0.4187103  ,-2.071394 ,3.380995
Q8A1,A, 1,2.424803,2.251292,2.128232, 2.541602 , 4.062166  ,1.881853,-6.907755,-0.06252036 ,1.88707 ,-1.956063   ,2.911472,2.332438,-0.33244   ,6.018864,1.997925,3.485118,3.660709,-2.813411 , 0.8754687 , 0          , 1.547563  ,1.648659 ,3.566712,5.925592,-3.194183,-4.60517  ,1.160021 ,3.623807,-0.1165338  ,3.472587,-1.514128   ,-2.207275 ,3.489208
Q8A2,A, 2,2.653242,2.890372,2.815409, 2.128232 , 3.754199  ,1.880843,-6.907755, 0.1996611  ,1.94591 ,-2.516688   ,3.104618,1.713789,-0.07434086,4.964868,1.8008  ,3.289952,3.247719,-2.995732 ,-0.5108256 , 0.463734   ,-0.3566749 ,0.5306283,3.113515,3.356897,-2.937463,-2.525729 ,1.283708 ,3.62274 , 0.09531018 ,3.437529,-1.832581   ,-1.427116 ,3.186766
Q8A3,A, 3,2.4681  ,2.681022,2.379546, 2.4681   , 3.931826  ,1.554587,-6.907755, 0.2693889  ,1.722767,-2.400921   ,2.886223,1.711773,-0.6469018 ,4.819209,1.575641,3.408222,3.032316,-2.995732 ,-0.2231436 , 0.9162907  , 0.4054651 ,2.809403 ,3.063391,6.892032,-2.282782,-4.60517  ,0.7371641,3.581294,-0.1863296  ,3.80866 ,-1.272966   ,-1.609438 ,3.760037
Q8A4,A, 4,2.292535,2.721295,2.541602, 2.230014 , 3.968403  ,1.638281,-6.907755,-0.2016803  ,2.054124,-2.516688   ,2.77536 ,1.370017,-0.5017849 ,4.788164,1.535097,3.053563,2.717091,-2.995732 ,-0.9162907 ,-0.2744368  ,-0.6931472 ,0.4054651,3.64545 ,2.66026 ,-3.324236,-2.479751 ,1.088562 ,3.473208,-0.09431068 ,3.457263,-2.040221   ,-2.813411 ,2.808197
Q8A5,A, 5,2.646175,3.044522,2.901422, 2.140066 , 3.642836  ,1.80282 ,-6.907755, 0.04061975 ,1.84055 ,-2.02916    ,3.422209,1.867359, 0.115421  ,5.670543,2.219335,3.473667,3.249739,-2.813411 ,-0.1053605 , 0.4446858  ,-0.2231436 ,1.808289 ,2.70805 ,4.603168,-3.101093,-2.407946 ,0.9969486,4.224203,-0.05129329 ,3.742894,-1.108663   ,-2.995732 ,2.963209
Q8A6,A, 6,2.74084 ,3.00072 ,2.839078, 2.174752 , 3.650658  ,1.699484,-6.907755, 0.1083954  ,1.667707,-2.2895     ,3.211758,1.661744, 0.04264404,4.817106,2.041233,3.424233,3.305212,-2.813411 ,-0.3566749 , 1.408545   , 0.09531018,3.377588 ,2.965273,6.740992,-2.189256,-3.218876 ,1.214913 ,3.857144,-0.08338161 ,4.321746,-0.7985077  ,-1.469676 ,3.406848
