NO2 ;PtC;Trajet;vitesse;Typo;Auto;Com;Dep;GBd;Nat;Periph;Tun;Agglo;GCR;ParisR;PCR;P10PA1H;P2PA1H;N2PA1H;Saison;Période
108.66;90.82;R Echo (1);51;PC_Paris;56;23;0;21;0;0;0;100;0;21;79;21.9;10.7;NA;ete;Matin
189.52;95.83;R Echo (2);26;PC_Paris;13;0;58;18;0;11;2;100;0;29;71;19.5;16.3;40;hiver;Soir
185.55;117.38;R Echo (3);25;PC_Paris;51;11;0;37;0;0;0;100;0;37;63;42.5;30.7;51;hiver;Matin
230.85;99.66;R Echo (4);15;PC_Paris;0;11;0;53;24;13;0;100;0;65;35;26.7;11.6;67;hiver;Soir
111.95;44.9;S Bravo (1);26;GC_PC;2;0;50;0;48;0;0;100;34;0;66;18.9;14.7;NA;ete;Soir
61.46;46.15;S Bravo (2);27;GC_PC;1;0;52;0;47;0;0;100;37;0;63;22;13.8;43.5;ete;Matin
217.36;74.92;S Bravo (3);18;GC_PC;51;0;49;0;0;0;0;100;30;0;70;40.1;NA;74.5;hiver;Soir
73.91;42.93;S Bravo (4);22;GC_PC;0;15;34;0;51;0;0;100;50;0;50;34.1;19.2;62.5;hiver;Matin
131.18;55.57;S Charlie (1);44;PC_Paris;24;0;43;34;0;0;0;100;0;34;66;18.3;14.4;NA;ete;Soir
98.27;51.02;S Charlie (2);21;PC_Paris;20;0;50;31;0;0;0;100;0;31;69;23.9;18.6;49;ete;Matin
228.35;122.17;S Charlie (3);22;PC_Paris;28;0;34;38;0;0;0;100;0;38;62;36.4;NA;75;hiver;Soir
75.52;68.23;S Charlie (4);20;PC_Paris;35;0;32;33;0;0;2;100;0;33;67;37;20;61;hiver;Matin
167.7;57.55;T Bravo (1);31;GC_PC;35;27;0;0;39;0;20;100;42;0;58;31;9.8;29;ete;Soir
223.91;91.48;T Bravo (2);18;GC_PC;19;0;21;0;60;0;10;100;66;0;34;38.7;25.5;62.5;ete;Matin
237.25;123.58;T Bravo (3);26;GC_PC;41;16;7;0;36;0;19;100;48;0;52;20;12.7;62.5;hiver;Soir
173.98;55.61;T Bravo (4);16;GC_PC;9;13;0;0;78;0;2;100;84;0;16;27.2;16.3;48;hiver;Matin
107.05;46.38;T Delta (1);19;PC_Paris;0;28;0;59;13;0;1;100;0;59;41;34.7;9.5;20;ete;Soir
247.82;108.87;T Delta (2);12;PC_Paris;0;9;0;59;32;0;6;100;0;59;41;44.7;27;55;ete;Matin
198.7;124.09;T Delta (3);17;PC_Paris;0;12;0;66;22;0;1;100;0;66;34;17.6;12.5;55;hiver;Soir
166.36;81.58;T Delta (4);14;PC_Paris;0;12;27;48;0;13;0;100;0;61;39;37.9;21;59;hiver;Matin
123.92;59.13;U Alpha (1);NA;Paris_Paris;0;91;0;9;0;0;0;100;0;100;0;19.2;7.9;38;ete;Soir
87.31;51.03;U Alpha (2);18;Paris_Paris;0;49;0;51;0;0;0;100;0;100;0;25.8;17.6;46;hiver;Matin
85.84;48.34;U Bravo (1);22;Paris_Paris;0;0;0;100;0;0;0;100;0;100;0;19.4;7.8;35;ete;Soir
